Date,^GSPC,^FTLC,^RUT,IEUS,GOVT,IGOV,SIVR,SGOL,Total
2021-02-04,5171.400000000001,0.0,0.0,0.0,4828.6,0.0,0.0,0.0,10000.0
2021-02-05,5191.555506494344,0.0,0.0,0.0,4821.43886470137,0.0,0.0,0.0,10012.994371195713
2021-02-08,5229.969634219112,0.0,0.0,0.0,4823.229839488523,0.0,0.0,0.0,10053.199473707635
2021-02-09,5224.145932323231,0.0,0.0,0.0,4826.809370694095,0.0,0.0,0.0,10050.955303017327
2021-02-10,5222.342635862947,0.0,0.0,0.0,4835.761480779878,0.0,0.0,0.0,10058.104116642826
2021-02-11,5231.024546343709,0.0,0.0,0.0,4830.390629305905,0.0,0.0,0.0,10061.415175649614
2021-02-12,5255.668076198431,0.0,0.0,0.0,4812.48640913434,0.0,0.0,0.0,10068.15448533277
2021-02-16,5252.676169322642,0.0,0.0,0.0,4791.002657757202,0.0,0.0,0.0,10043.678827079842
2021-02-18,5227.805678466771,0.0,0.0,0.0,4794.583225406516,0.0,0.0,0.0,10022.388903873287
2021-02-19,5218.108639255292,0.0,0.0,0.0,4776.680041678693,0.0,0.0,0.0,9994.788680933983
2021-02-22,5177.757842872725,0.0,0.0,0.0,4767.728277074158,0.0,0.0,0.0,9945.486119946883
2021-02-23,5184.262753865447,0.0,0.0,0.0,4765.9379932495,0.0,0.0,0.0,9950.200747114948
2021-02-24,5243.112502308678,0.0,0.0,0.0,4756.98553768247,0.0,0.0,0.0,10000.098039991148
2021-02-25,5114.7673605320815,0.0,0.0,0.0,4712.227751103535,0.0,0.0,0.0,9826.995111635617
2021-02-26,5090.471120140325,0.0,0.0,0.0,4762.35673463769,0.0,0.0,0.0,9852.827854778016
2021-03-01,5211.57731469778,0.0,0.0,0.0,4747.844103873045,0.0,0.0,0.0,9959.421418570826
2021-03-02,5169.463331342202,0.0,0.0,0.0,4751.428126334836,0.0,0.0,0.0,9920.891457677037
2021-03-04,5033.464451551258,0.0,0.0,0.0,4722.762165302968,0.0,0.0,0.0,9756.226616854226
2021-03-05,5131.596714423368,0.0,0.0,0.0,4722.762165302968,0.0,0.0,0.0,9854.358879726336
2021-03-08,5104.095302077158,0.0,0.0,0.0,4708.4281483432915,0.0,0.0,0.0,9812.523450420449
2021-03-09,5176.341945362678,0.0,0.0,0.0,4724.552794608873,0.0,0.0,0.0,9900.89473997155
2021-03-10,5207.5569092621845,0.0,0.0,0.0,4729.928137339063,0.0,0.0,0.0,9937.485046601247
2021-03-11,5261.691999437279,0.0,0.0,0.0,4726.345151321016,0.0,0.0,0.0,9988.037150758295
2021-03-15,5301.227888432097,0.0,0.0,0.0,4704.845507806492,0.0,0.0,0.0,10006.07339623859
2021-03-16,5292.906637243392,0.0,0.0,0.0,4701.262176307196,0.0,0.0,0.0,9994.168813550586
